,iata_code,name
11952,ARX,Asbury Park Neptune Air Terminal
11953,TAV,Tau Airport
11955,ASZ,Asirim Airport
11969,ATN,Namatanai Airport
11970,ATP,Aitape Airport
12052,LYT,Lady Elliot Island Airstrip
12162,AGW,Agnew Airport
12163,AYD,Alroy Downs Airport
12164,BYX,Baniyala Airport
12165,COB,Coolibah Airport
12166,CRJ,Coorabie Airport
12167,CRY,Carlton Hill Airport
12168,CSD,Cresswell Downs Airport
12169,DYM,Diamantina Lakes Airport
12170,HIS,Hayman Island Resort Seaplane Base
12171,HLV,Helenvale Airport
12172,KBD,Kimberley Downs Airport
12173,KGR,Kulgera Airport
12174,MWY,Miranda Downs Airport
12175,MYO,Camballin Airport
12176,OKB,Orchid Beach Airport
12177,PEP,Peppimenarti Airport
12178,RDA,Rockhampton Downs Airport
12179,SSK,Sturt Creek Airport
12180,SWB,Shaw River Airport
12181,TPR,Tom Price Airport
12182,TWP,Torwood Airport
12183,ZVG,Springvale Airport
12184,AUI,Aua Island Airport
12185,AUJ,Ambunti Airport
12186,AUP,Agaun Airport
12188,AUV,Aumo Airport
12191,AWE,Alowe Airport
12192,AWR,Awar Airport
12193,AXF,Alxa Left Banner Bayanhot Airport
12194,KPM,Kompiam Airport
12197,BUA,Buka Airport
12198,BRP,Biaru Airport
12204,CMU,Chimbu Airport
12206,MDM,Munduku Airport
12207,KPF,Kondobol Airport
12208,DNU,Dinangat Airport
12209,DOI,Doini Airport
12213,DAU,Daru Airport
12216,EMS,Embessa Airport
12217,XYR,Edwaki Airport
12221,EPT,Eliptamin Airport
12223,EGA,Engati Airstrip
12224,EMO,Emo River Airstrip
12225,ERU,Erume Airport
12226,MFZ,Meselia Airport
12229,FRQ,Feramin Airport
12232,FAQ,Frieda River Airport
12234,FUM,Fuma Airport
12236,GKA,Goroka Airport
12239,GUG,Guari Airport
12240,GRL,Garasa Airport
12243,GUR,Gurney Airport
12245,GAP,Gusap Airport
12247,PNP,Girua Airport
12248,GBC,Gasuke Airport
12252,HBD,Habi Airport
12253,HNI,Heiweni Airport
12254,HNN,Honinabi Airport
12256,HKN,Kimbe Airport
12259,HIT,Haivaro Airport
12266,IMN,Imane Airport
12267,KGM,Kungim Airport
12269,IMD,Imonda Airport
12271,KIE,Aropa Airport
12275,IAL,Ialibu Airport
12276,WIU,Witu Airport
12278,KGH,Yongai Airport
12279,LSA,Losuia Airport
12280,KPA,Kopiago Airport
12281,UNG,Kiunga Airport
12282,KNE,Kanainj Airport
12283,KRI,Kikori Airport
12285,KMA,Kerema Airport
12287,KRX,Kar Kar Airport
12288,KUQ,Kuri Airport
12289,KVG,Kavieng Airport
12290,LNV,Londolovit Airport
12293,LAB,Lab Lab Airport
12297,LWI,Lowai Airport
12298,LPN,Leron Plains Airport
12300,LNG,Lese Airport
12301,LSJ,Long Island Airport
12303,AYM,Yas Island Seaplane Base
12304,MRM,Manari Airport
12305,OBM,Morobe Airport
12306,MAG,Madang Airport
12307,HGU,Mount Hagen Kagamuga Airport
12309,GUV,Mougulu Airport
12310,MDU,Mendi Airport
12311,MAS,Momote Airport
12312,MXH,Moro Airport
12313,MIS,Misima Island Airport
12314,MWG,Marawaka Airport
12316,NKN,Nankina Airport
12317,GBF,Negarbo(Negabo) Airport
12318,MFO,Manguna Airport
12319,KSB,Kasonombe Airport
12320,NMN,Nomane Airport
12322,NBA,Nambaiyufa Airport
12323,LAE,Nadzab Airport
12326,KGB,Konge Airport
12328,OKP,Oksapmin Airport
12329,HOC,Komako Airport
12330,KCJ,Komaio Airport
12333,KDE,Koroba Airport
12335,OPB,Open Bay Airport
12338,PGB,Pangoa Airport
12339,PGN,Pangia Airport
12341,MPF,Mapoda Airport
12342,PMN,Pumani Airport
12345,POM,Port Moresby Jacksons International Airport
12348,SPH,Sopu Airport
12349,SXA,Sialum Airport
12354,RMN,Rumginae Airport
12355,KMR,Karimui Airport
12357,MWI,Maramuni Airport
12361,MRH,May River Airstrip
12363,SBE,Suabi Airport
12365,NIS,Simberi Airport
12366,SIL,Sila Airport
12367,SBV,Sabah Airport
12369,SIM,Simbai Airport
12371,SBC,Selbang Airport
12372,SPV,Sepik Plains Airport
12375,SXW,Sauren Airport
12376,MBV,Masa Airport
12379,TIZ,Tari Airport
12380,TBG,Tabubil Airport
12383,TPI,Tapini Airport
12384,RAB,Tokua Airport
12387,TKW,Tekin Airport
12388,TEP,Tep Tep Airport
12390,TSW,Tsewi Airport
12391,TRJ,Tarakbits Airport
12392,TWY,Tawa Airport
12393,TKB,Tekadu Airport
12394,AYU,Aiyura Airport
12396,UMC,Umba Airport
12398,URU,Uroubi Airport
12404,UPR,Upiara Airport
12409,UVO,Uvol Airport
12412,TLW,Talasea Airport
12413,TCJ,Torembi Airport
12414,VAI,Vanimo Airport
12415,TON,Tonu Airport
12417,WAO,Wabo Airport
12418,WBM,Wapenamanda Airport
12419,WAJ,Wawoi Falls Airport
12420,WWK,Wewak International Airport
12422,WOA,Wonenara Airport
12423,WKN,Wakunai Airport
12424,WSU,Wasu Airport
12425,WTP,Woitape Airport
12426,WUG,Wau Airport
12429,YVD,Yeva Airport
12431,SMJ,Sim Airport
12433,WEP,Weam Airport
12435,AYY,Arugam Bay SPB
12437,KYX,Yalumet Airport
12443,KSX,Yasuru Airport
12448,AYZ,Zahn's Airport
12450,WUM,Wasum Airport
12456,ZXT,Zabrat Airport
12496,HAE,Lava Falls Heliport
12581,AZB,Amazon Bay Airport
12597,BAJ,Bali Airport
12598,BAP,Baibara Airport
12599,BKG,Branson Airport
12600,BCJ,Baca Grande Airfield
12601,BCP,Bambu Airport
