,iata_code,name
26041,MFA,Mafia Airport
26043,MWN,Mwadui Airport
26046,XMI,Masasi Airport
26050,NPY,Mpanda Airport
26051,QSI,Moshi Airport
26052,MYW,Mtwara Airport
26053,MUZ,Musoma Airport
26054,MWZ,Mwanza Airport
26056,NCH,Nachingwea Airport
26058,JOM,Njombe Airport
26061,PMA,Pemba Airport
26065,SEU,Seronera Airport
26066,SGX,Songea Airport
26067,SUT,Sumbawanga Airport
26068,SHY,Shinyanga Airport
26069,TBO,Tabora Airport
26070,TGT,Tanga Airport
26077,ZNZ,Abeid Amani Karume International Airport
26134,RUA,Arua Airport
26136,EBB,Entebbe International Airport
26138,ULU,Gulu Airport
26139,JIN,Jinja Airport
26141,KLA,Kololo Airstrip
26143,PAF,Pakuba Airfield
26147,KSE,Kasese Airport
26150,MBQ,Mbarara Airport
26151,KCU,Masindi Airport
26155,SRT,Soroti Airport
26156,TRY,Tororo Airport
26157,HWA,Hawabango Airport
26160,HYL,Hollis Clark Bay Seaplane Base
26282,IBI,Iboki Airport
26283,IBL,Indigo Bay Lodge Airport
26285,ICO,Sicogon Airstrip
26288,PPJ,Pulau Panjang Airport
26291,JBB,Notohadinegoro Airport
26296,BWX,Banyuwangi International Airport
26302,AAP,Aji Pangeran Tumenggung Pranoto International Airport
26454,BXW,Bawean Airport
26471,AAS,Apalapsili Airport
26472,AGD,Anggi Airport
26474,AKQ,Gunung Batin Airport
26475,AYW,Ayawasi Airport
26476,BJG,Boalang Airport
26477,BXM,Batom Airport
26478,DRH,Dabra Airport
26479,ELR,Elelim Airport
26480,EWE,Ewer Airport
26481,FOO,Kornasoren Airfield
26482,GAV,Gag Island Airport
26483,IUL,Ilu Airport
26484,KBF,Karubaga Airport
26485,KBX,Kambuaya Airport
26486,KCD,Kamur Airport
26487,KCI,Kon Airport
26488,KEA,Keisah Airport
26489,KMM,Kiman Airport
26490,KOD,Kotabangun Airport
26491,KRC,Departi Parbo Airport
26492,KWB,Dewadaru Airport
26493,LLN,Kelila Airport
26494,LWE,Lewoleba Airport
26495,LYK,Lunyuk Airport
26496,MJY,Mangun Jaya Airport
26497,MPT,Maliana airport
26498,MSI,Masalembo Airport
26499,MUF,Muting Airport
26500,NAF,Banaina Airport
26501,OBD,Obano Airport
26503,PUM,Pomala Airport
26504,PWL,Purwokerto Airport
26505,RAQ,Sugimanuru Airport
26506,RKI,Rokot Airport
26507,RTI,Roti Airport
26508,RUF,Yuruf Airport
26509,RZS,Sawan Airport
26510,SAE,Sangir Airport
26511,TBM,Tumbang Samba Airport
26512,TMY,Tiom Airport
26515,ZEG,Senggo Airport
26516,UGU,Bilogai-Sugapa Airport
26616,IDN,Indagen Airport
26891,ILX,Ileg Airport
26897,IMA,Iamalele Airport
26898,IMG,Inhaminga Airport
26910,PYG,Pakyong Airport
26968,VDY,Jindal Vijaynagar Airport
27182,JGB,Jagdalpur Airport
27183,NVY,Neyveli Airport
27184,RJI,Rajouri Airport
27185,TEI,Tezu Airport
27292,INE,Chinde Airport
27293,IOK,Iokea Airport
27294,IOP,Ioma Airport
27353,KHA,Khaneh Airport
27388,GSM,Qeshm International Airport
27391,IRU,Iranamadu Seaplane Base
27476,ISG,New Ishigaki Airport
28163,TQR,San Domino Island Heliport
28164,ITK,Itokama Airport
28165,IUS,Inus Airport
28166,IVH,Ivishak Airport
28167,IVI,Viveros Island Airport
28170,JGD,Jiagedaqi Airport
28171,JIC,Jinchuan Airport
28172,JIO,Jos Orno Imsula Airport
28173,JIQ,Qianjiang Wulingshan Airport
28174,UUK,Lilbuanaka International Airport/Heliport/Airforcebase/TestingSite/Flightschool
28175,JJD,Comandante Ariston Pessoa Airport
28176,JLA,Quartz Creek Airport
28197,JNZ,Jinzhou Bay Airport
28208,JOP,Josephstaal Airport
30621,JPN,Pentagon Army Heliport
30622,JRA,West 30th St. Heliport
30623,JRB,Downtown-Manhattan/Wall St Heliport
30624,JUH,Jiuhuashan Airport
30668,AMK,Animas Air Park
30669,BDX,Broadus Airport
30688,EUE,Eureka Airport
30693,KPT,Jackpot Airport/Hayden Field
30694,RLA,Rolla Downtown Airport
30719,FID,Elizabeth Field
30737,HUD,Humboldt Municipal Airport
30758,TWD,Jefferson County International Airport
30762,MVM,Kayenta Airport
30816,HCC,Columbia County Airport
30828,AHD,Ardmore Downtown Executive Airport
30834,GCW,Grand Canyon West Airport
30863,CKE,Lampson Field
30866,ROF,Montague-Yreka Rohrer Field
30882,CNE,Fremont County Airport
30891,RSX,Rouses Point Seaplane Base
30899,COP,Cooperstown-Westville Airport
30919,CIL,Council Airport
30936,IRB,Iraan Municipal Airport
30965,GNF,Gansner Field
30980,CHZ,Chiloquin State Airport
30987,LTW,St. Mary's County Regional Airport
31015,AHF,Arapahoe Municipal Airport
31020,PCT,Princeton Airport
31032,CTO,Calverton Executive Airpark
31078,NRI,Grand Lake Regional Airport
31086,GTP,Grants Pass Airport
31091,NLE,Jerry Tyler Memorial Airport
31099,GCD,Grand Coulee Dam Airport
31104,VLE,Valle Airport
31105,FPY,Perry-Foley Airport
31110,NTJ,Manti-Ephraim Airport
31122,MSD,Mount Pleasant Airport
31125,SBO,Salina Gunnison Airport
31133,JVI,Central Jersey Regional Airport
31188,UCE,Eunice Airport
31190,GOL,Gold Beach Municipal Airport
31207,KKT,Kentland Municipal Airport
31255,PRW,Prentice Airport
31267,EGP,Maverick County Memorial International Airport
31282,BLD,Boulder City-Lake Mead International Airport
31303,MFH,Mesquite International Airport
31318,ECA,Iosco County Airport
31345,FMU,Florence Municipal Airport
31362,OTS,Anacortes Airport
31363,ROL,Roosevelt Municipal Airport
31391,CTK,Canton Municipal Airport
31414,WPO,North Fork Valley Airport
31425,ATE,Antlers Municipal Airport
31446,QWG,Wilgrove Air Park
31529,ASQ,Austin Airport
31548,AAF,Apalachicola Regional Airport
31553,ABE,Lehigh Valley International Airport
31554,ABI,Abilene Regional Airport
31555,ABQ,Albuquerque International Sunport
31556,ABR,Aberdeen Regional Airport
31557,ABY,Southwest Georgia Regional Airport
31558,ACB,Antrim County Airport
31560,ACK,Nantucket Memorial Airport
31563,ACT,Waco Regional Airport
31564,ACV,California Redwood Coast-Humboldt County International Airport
31565,ACY,Atlantic City International Airport
31568,ADG,Lenawee County Airport
31569,ADT,Ada Regional Airport
31570,ADM,Ardmore Municipal Airport
31571,ADS,Addison Airport
31574,ADW,Joint Base Andrews
31575,KAE,Kake Seaplane Base
31578,AEL,Albert Lea Municipal Airport
31579,AEX,Alexandria International Airport
31580,KAF,Karato Airport
31581,AFF,USAF Academy Airfield
31582,WSG,Washington County Airport
31584,AFN,Jaffrey Airport Silver Ranch Airport
31585,AFO,Afton Municipal Airport
31587,AFW,Fort Worth Alliance Airport
31588,AGC,Allegheny County Airport
31589,AGO,Magnolia Municipal Airport / Ralph C Weiser Field
31591,AGS,Augusta Regional At Bush Field
31593,AHC,Amedee Army Air Field
31594,AHH,Amery Municipal Airport
31595,AHN,Athens Ben Epps Airport
31597,AIA,Alliance Municipal Airport
31599,AID,Anderson Municipal Darlington Field
31601,AIK,Aiken Regional Airport
31602,AIO,Atlantic Municipal Airport
31604,AIV,George Downer Airport
31605,AIY,Atlantic City Municipal Bader Field
31606,AIZ,Lee C Fine Memorial Airport
31611,KAK,Kar Airport
31613,AKO,Colorado Plains Regional Airport
31615,AKC,Akron Executive Airport
31616,ALB,Albany International Airport
31617,ALI,Alice International Airport
31618,ALM,Alamogordo White Sands Regional Airport
31619,ALN,St Louis Regional Airport
31620,ALO,Waterloo Regional Airport
31621,ALS,San Luis Valley Regional Airport/Bergman Field
31622,ALW,Walla Walla Regional Airport
31623,ALX,Thomas C Russell Field
31624,AMA,Rick Husband Amarillo International Airport
31626,AMN,Gratiot Community Airport
31628,AMW,Ames Municipal Airport
31629,ANB,Anniston Regional Airport
31630,AND,Anderson Regional Airport
31633,SLT,Salida Airport Harriett Alexander Field
31634,ANP,Lee Airport
31635,ANQ,Tri State Steuben County Airport
31636,ANW,Ainsworth Regional Airport
31637,ANY,Anthony Municipal Airport
31639,AOH,Lima Allen County Airport
31640,AOO,Altoona Blair County Airport
31642,APA,Centennial Airport
31643,APC,Napa County Airport
31644,APF,Naples Municipal Airport
31645,APG,Phillips Army Air Field
31646,APH,A P Hill AAF (Fort A P Hill) Airport
31647,APN,Alpena County Regional Airport
31648,APT,Marion County Brown Field
31649,APV,Apple Valley Airport
31651,KAQ,Kamulai Airport
31657,ARA,Acadiana Regional Airport
31658,ARB,Ann Arbor Municipal Airport
31659,ARG,Walnut Ridge Regional Airport
31660,WHT,Wharton Regional Airport
31661,AUZ,Aurora Municipal Airport
31662,ART,Watertown International Airport
31663,ARV,Lakeland-Noble F. Lee Memorial field
31664,BFT,Beaufort County Airport
31666,ASE,Aspen-Pitkin Co/Sardy Field
31667,SPZ,Springdale Municipal Airport
31668,ASH,Nashua Airport / Boire Field
31670,ASL,Harrison County Airport
31671,ASN,Talladega Municipal Airport
31672,AST,Astoria Regional Airport
31674,ASX,John F Kennedy Memorial Airport
31675,ASY,Ashley Municipal Airport
31677,ATL,Hartsfield Jackson Atlanta International Airport
31678,ATS,Artesia Municipal Airport
31679,ATW,Appleton International Airport
31680,ATY,Watertown Regional Airport
31681,AUG,Augusta State Airport
31683,AUM,Austin Municipal Airport
31684,AUN,Auburn Municipal Airport
31685,AUO,Auburn University Regional Airport
31686,AUS,Austin Bergstrom International Airport
31687,AUW,Wausau Downtown Airport
31690,AVL,Asheville Regional Airport
31691,AVO,Avon Park Executive Airport
31692,AVP,Wilkes Barre Scranton International Airport
31693,AVW,Marana Regional Airport
31694,AVX,Catalina Airport
31696,AWM,West Memphis Municipal Airport
31698,AXG,Algona Municipal Airport
31700,AXN,Chandler Field
31702,AXS,Altus Quartz Mountain Regional Airport
31703,AXV,Neil Armstrong Airport
31704,AXX,Angel Fire Airport
31705,AYE,Ft Devens Moore Army Air Field
31706,AYS,Waycross Ware County Airport
31707,TUH,Arnold Air Force Base
31710,AZO,Kalamazoo Battle Creek International Airport
31714,BAB,Beale Air Force Base
31715,BAD,Barksdale Air Force Base
31716,BAF,Westfield-Barnes Regional Airport
31717,CLU,Columbus Municipal Airport
31718,BAM,Battle Mountain Airport
31721,BBB,Benson Municipal Airport
31722,BBD,Curtis Field
31723,BTN,Marlboro County Jetport H.E. Avent Field
31724,BBW,Broken Bow Municipal Airport
31725,BCB,Virginia Tech Montgomery Executive Airport
31726,BCE,Bryce Canyon Airport
31728,BCT,Boca Raton Airport
31729,BDE,Baudette International Airport
31730,BDG,Blanding Municipal Airport
31732,BDL,Bradley International Airport
31735,BDR,Igor I Sikorsky Memorial Airport
31736,WBU,Boulder Municipal Airport
31738,KBE,Bell Island Hot Springs Seaplane Base
31740,BEC,Beech Factory Airport
31741,BED,Laurence G Hanscom Field
31742,BEH,Southwest Michigan Regional Airport
31744,BFD,Bradford Regional Airport
31746,BFF,Western Neb. Rgnl/William B. Heilig Airport
31747,BFI,Boeing Field King County International Airport
31749,BFL,Meadows Field
31750,BFM,Mobile Downtown Airport
31751,BFR,Virgil I Grissom Municipal Airport
31753,BGD,Hutchinson County Airport
31754,BGE,Decatur County Industrial Air Park
31756,BGM,Greater Binghamton/Edwin A Link field
31757,BGR,Bangor International Airport
31758,KBH,Kahama Airstrip
31759,BHB,Hancock County-Bar Harbor Airport
31762,BHM,Birmingham-Shuttlesworth International Airport
31763,BID,Block Island State Airport
31764,BIE,Beatrice Municipal Airport
31765,BIF,Biggs Army Air Field (Fort Bliss)
31766,BIH,Eastern Sierra Regional Airport
31768,BIL,Billings Logan International Airport
31769,BIS,Bismarck Municipal Airport
31771,BIX,Keesler Air Force Base
31772,BJC,Rocky Mountain Metropolitan Airport
31773,BJI,Bemidji Regional Airport
31774,BJJ,Wayne County Airport
31775,BKD,Stephens County Airport
31776,BKE,Baker City Municipal Airport
31777,BFK,Buckley Air Force Base
31778,BKL,Burke Lakefront Airport
31781,BKT,Allen C Perkinson Blackstone Army Air Field
31783,BKW,Raleigh County Memorial Airport
31784,BKX,Brookings Regional Airport
31785,BLF,Mercer County Airport
31786,BLH,Blythe Airport
31787,BLI,Bellingham International Airport
31788,BLM,Monmouth Executive Airport
31789,BLU,Blue Canyon Nyack Airport
31790,BLV,Scott AFB/Midamerica Airport
31791,KBM,Kabwum
31792,BMC,Brigham City Regional Airport
31793,BMG,Monroe County Airport
31794,BMI,Central Illinois Regional Airport at Bloomington-Normal
31795,BML,Berlin Regional Airport
31797,BMT,Beaumont Municipal Airport
31798,BNA,Nashville International Airport
31799,BNG,Banning Municipal Airport
31800,BNL,Barnwell Regional Airport
31801,BNO,Burns Municipal Airport
31802,BNW,Boone Municipal Airport
31803,BOI,Boise Air Terminal/Gowen Field
31804,BOS,Logan International Airport
31805,BOW,Bartow Executive Airport
31806,HCA,Big Spring Mc Mahon-Wrinkle Airport
31807,BPI,Miley Memorial Field
31808,WMH,Ozark Regional Airport
31810,BPT,Jack Brooks Regional Airport
31811,BQK,Brunswick Golden Isles Airport
31814,BRD,Brainerd Lakes Regional Airport
31815,BRL,Southeast Iowa Regional Airport
31816,BRO,Brownsville South Padre Island International Airport
31817,BRY,Samuels Field
31820,BTF,Skypark Airport
31821,BTL,Battle Creek Executive Airport at Kellogg Field
31822,BTM,Bert Mooney Airport
31823,TTO,Britton Municipal Airport
31824,BTP,Pittsburgh/Butler Regional Airport
31825,BTR,Baton Rouge Metropolitan Airport
31826,BTV,Burlington International Airport
31827,BTY,Beatty Airport
31828,BUB,Cram Field
31829,BUF,Buffalo Niagara International Airport
31830,BUM,Butler Memorial Airport
31831,BUR,Bob Hope Airport
31834,BFP,Beaver County Airport
31836,BVO,Bartlesville Municipal Airport
31837,MVW,Skagit Regional Airport
31838,BVX,Batesville Regional Airport
31839,BVY,Beverly Regional Airport
31840,BWC,Brawley Municipal Airport
31841,BWD,Brownwood Regional Airport
31842,BWG,Bowling Green Warren County Regional Airport
31843,BWI,Baltimore/Washington International Thurgood Marshall Airport
31844,WAH,Harry Stern Airport
31845,BWM,Bowman Regional Airport
31846,BXA,George R Carr Memorial Air Field
31848,BXK,Buckeye Municipal Airport
31849,BYG,Johnson County Airport
31850,BYH,Arkansas International Airport
31851,BYI,Burley Municipal Airport
31852,BYS,Bicycle Lake Army Air Field
31853,BBC,Bay City Regional Airport
31854,BZN,Gallatin Field
31855,XES,Grand Geneva Resort Airport
31871,PLY,Plymouth Municipal Airport
31877,CLG,New Coalinga Municipal Airport
31881,CAD,Wexford County Airport
31882,CAE,Columbia Metropolitan Airport
31883,CIG,Craig Moffat Airport
31884,CAK,Akron Canton Regional Airport
31885,CAO,Clayton Municipal Airpark
31886,CAR,Caribou Municipal Airport
31888,CBE,Greater Cumberland Regional Airport
31889,CBF,Council Bluffs Municipal Airport
31891,CBK,Shalz Field
31892,CBM,Columbus Air Force Base
31893,KCC,Coffman Cove Seaplane Base
31895,CCB,Cable Airport
31897,CCR,Buchanan Field
31898,CCY,Northeast Iowa Regional Airport
31899,LLX,Caledonia County Airport
31900,CDC,Cedar City Regional Airport
31901,CDH,Harrell Field
31903,CDN,Woodward Field
31904,CDR,Chadron Municipal Airport
31905,CDS,Childress Municipal Airport
31906,CDW,Essex County Airport
31907,CEA,Cessna Aircraft Field
31908,CEC,Jack Mc Namara Field Airport
31909,CEF,Westover ARB/Metropolitan Airport
31911,CEU,Oconee County Regional Airport
31912,CEV,Mettel Field
31913,CEW,Bob Sikes Airport
31914,CEY,Kyle Oakley Field
31915,CEZ,Cortez Municipal Airport
31916,CFD,Coulter Field
31919,TZC,Tuscola Area Airport
31920,CFT,Greenlee County Airport
31921,CFV,Coffeyville Municipal Airport
31922,KCG,Chignik Fisheries Airport
31924,CGE,Cambridge Dorchester Airport
31925,CGF,Cuyahoga County Airport
31926,CGI,Cape Girardeau Regional Airport
31927,CGS,College Park Airport
31928,CGX,Chicago Meigs Airport
31929,CGZ,Casa Grande Municipal Airport
31930,CHA,Chattanooga Metropolitan Airport (Lovell Field)
31933,CHK,Chickasha Municipal Airport
31935,CHO,Charlottesville Albemarle Airport
31937,CHS,Charleston International Airport
31940,CIC,Chico Municipal Airport
31941,CID,The Eastern Iowa Airport
31943,CIN,Arthur N Neu Airport
31944,CIR,Cairo Regional Airport
31945,CIU,Chippewa County International Airport
31947,CKA,Kegelman AF Aux Field
31948,CKB,North Central West Virginia Airport
31949,GRM,Grand Marais Cook County Airport
31952,CKM,Fletcher Field
31953,CKN,Crookston Municipal Kirkwood Field
31955,CKV,Clarksville–Montgomery County Regional Airport
31957,KCL,Chignik Lagoon Airport
31958,CLE,Cleveland Hopkins International Airport
31959,CLI,Clintonville Municipal Airport
31960,CLK,Clinton Regional Airport
31961,CLL,Easterwood Field
31962,CLM,William R Fairchild International Airport
31963,CLR,Cliff Hatfield Memorial Airport
31964,CLS,Chehalis Centralia Airport
31965,CLT,Charlotte Douglas International Airport
31966,CLW,Clearwater Air Park
31968,CMH,John Glenn Columbus International Airport
31969,CMI,University of Illinois Willard Airport
31971,CMX,Houghton County Memorial Airport
31972,CMY,Sparta Fort Mc Coy Airport
31973,KCN,Chernofski Harbor Seaplane Base
31976,CNH,Claremont Municipal Airport
31977,CNK,Blosser Municipal Airport
31978,CNM,Cavern City Air Terminal
31979,CNO,Chino Airport
31981,CNU,Chanute Martin Johnson Airport
31982,CNW,TSTC Waco Airport
31983,CNY,Canyonlands Field
31984,COD,Yellowstone Regional Airport
31985,COE,Coeur D'Alene - Pappy Boyington Field
31986,COF,Patrick Air Force Base
31987,COI,Merritt Island Airport
31988,COM,Coleman Municipal Airport
31989,CON,Concord Municipal Airport
31991,COS,City of Colorado Springs Municipal Airport
31992,COT,Cotulla-La Salle County Airport
31993,COU,Columbia Regional Airport
31996,CPM,Compton Woodley Airport
31997,CPR,Casper-Natrona County International Airport
31998,CPS,St Louis Downtown Airport
32005,HCW,Cheraw Municipal Airport/Lynch Bellinger Field
32007,KCR,Colorado Creek Airport
32008,CRE,Grand Strand Airport
32009,CRG,Jacksonville Executive at Craig Airport
32010,CRO,Corcoran Airport
32011,CRP,Corpus Christi International Airport
32012,CLD,Mc Clellan-Palomar Airport
32013,CRS,C David Campbell Field Corsicana Municipal Airport
32014,CRT,Z M Jack Stell Field
32015,CRW,Yeager Airport
32016,CRX,Roscoe Turner Airport
32019,CSG,Columbus Metropolitan Airport
32020,CSM,Clinton Sherman Airport
32021,CSQ,Creston Municipal Airport
32022,CSV,Crossville Memorial Whitson Field
32024,CTB,Cut Bank International Airport
32027,CTY,Cross City Airport
32028,CTZ,Sampson County Airport
32029,CUB,Jim Hamilton L.B. Owens Airport
32030,CUH,Cushing Municipal Airport
32034,CVG,Cincinnati Northern Kentucky International Airport
32035,CKK,Sharp County Regional Airport
32036,CVN,Clovis Municipal Airport
32037,CVO,Corvallis Municipal Airport
32038,CVS,Cannon Air Force Base
32040,CWA,Central Wisconsin Airport
32041,KIP,Kickapoo Downtown Airport
32042,CWF,Chennault International Airport
32043,CWI,Clinton Municipal Airport
32048,CXL,Calexico International Airport
32049,CXO,Conroe-North Houston Regional Airport
32050,CSN,Carson Airport
32053,HAR,Capital City Airport
32055,CYS,Cheyenne Regional Jerry Olson Field
32060,CZT,Dimmit County Airport
32080,VEX,Tioga Municipal Airport
32089,DAA,Davison Army Air Field
32090,DAB,Daytona Beach International Airport
32092,DAG,Barstow Daggett Airport
32093,DAL,Dallas Love Field
32094,DAN,Danville Regional Airport
32096,DAY,James M Cox Dayton International Airport
32097,DBN,W H 'Bud' Barron Airport
32098,DBQ,Dubuque Regional Airport
32099,DCA,Ronald Reagan Washington National Airport
32101,DCU,Pryor Field Regional Airport
32103,DDC,Dodge City Regional Airport
32105,DEC,Decatur Airport
32107,DEH,Decorah Municipal Airport
32108,DEN,Denver International Airport
32110,DET,Coleman A. Young Municipal Airport
32112,DFI,Defiance Memorial Airport
32113,DFW,Dallas Fort Worth International Airport
32114,DGL,Douglas Municipal Airport
32115,DGW,Converse County Airport
32116,DHN,Dothan Regional Airport
32117,DHT,Dalhart Municipal Airport
32119,DIK,Dickinson Theodore Roosevelt Regional Airport
32121,DKK,Chautauqua County-Dunkirk Airport
32124,DLL,Dillon County Airport
32125,DLF,Laughlin Air Force Base
32126,DLH,Duluth International Airport
32128,DLN,Dillon Airport
32130,DLS,Columbia Gorge Regional Airport
32132,DMA,Davis Monthan Air Force Base
32133,DMN,Deming Municipal Airport
32134,DMO,Sedalia Memorial Airport
32136,DNL,Daniel Field
32137,DNN,Dalton Municipal Airport
32138,DNS,Denison Municipal Airport
32139,DNV,Vermilion Regional Airport
32140,DOV,Dover Air Force Base
32141,KDP,Kandep Airport
32142,DPA,Dupage Airport
32143,DPG,Michael AAF (Dugway Proving Ground) Airport
32145,KDQ,Kamberatoro Airport
32147,DRA,Desert Rock Airport
32148,DRI,Beauregard Regional Airport
32149,DRE,Drummond Island Airport
32150,DRO,Durango La Plata County Airport
32152,DRT,Del Rio International Airport
32153,KDS,Kamaran Downs Airport
32154,DSM,Des Moines International Airport
32155,DSV,Dansville Municipal Airport
32156,DTA,Delta Municipal Airport
32157,DTL,Detroit Lakes Airport - Wething Field
32158,DTN,Shreveport Downtown Airport
32160,DSI,Destin Executive Airport
32161,DTW,Detroit Metropolitan Wayne County Airport
32162,DUA,Eaker Field
32163,DUC,Halliburton Field
32164,DUG,Bisbee Douglas International Airport
32166,DUJ,DuBois Regional Airport
32169,DVL,Devils Lake Regional Airport
32170,DVN,Davenport Municipal Airport
32171,NOT,Marin County Airport - Gnoss Field
32172,NSL,Slayton Municipal Airport
32173,DVT,Phoenix Deer Valley Airport
32174,KDW,Victoria Reservoir Seaplane Base
32176,DWF,Wright Field
32177,DWH,David Wayne Hooks Memorial Airport
32180,DXR,Danbury Municipal Airport
32184,DYL,Doylestown Airport
32186,DYS,Dyess Air Force Base
32188,KDZ,Polgolla Reservoir Seaplane Base
32250,JJM,Mulika Lodge Airport
32259,VPG,Vipingo Estate Airport
32323,KTJ,Kichwa Tembo Airport
32372,OSJ,Ol Seki Airstrip
32398,OLG,Olare Orok Airfield
32451,HKR,Mara North Conservancy Airstrip
32457,ANA,Angama Airport
32469,OLX,Olkiombo Airport
32499,KRV,Kerio Valley Airport
32501,KIU,Kiunga Airport
32502,LBK,Liboi Airport
32503,LBN,Lake Baringo Airport
32504,LKU,Lake Rudolf Airport
32505,MRE,Mara Lodges Airport
32506,MUM,Mumias Airport
32507,MIF,Roy Hurd Memorial Airport
32511,CCG,Crane County Airport
32512,ESO,Ohkay Owingeh Airport
32515,WTR,Whiteriver Airport
32521,ALE,Alpine Casparis Municipal Airport
32526,BGT,Bagdad Airport
32540,EAN,Phifer Airfield
32541,EAR,Kearney Regional Airport
32542,EAT,Pangborn Memorial Airport
32543,EAU,Chippewa Valley Regional Airport
32544,KEB,Nanwalek Airport
32547,EBS,Webster City Municipal Airport
32549,ECG,Elizabeth City Regional Airport & Coast Guard Air Station
32551,ECS,Mondell Field
32554,EDE,Northeastern Regional Airport
32557,ETS,Enterprise Municipal Airport
32559,EDW,Edwards Air Force Base
32561,EED,Needles Airport
32562,EEN,Dillant Hopkins Airport
32566,EFD,Ellington Airport
32567,EFK,Northeast Kingdom International Airport
32569,EFW,Jefferson Municipal Airport
32570,KEG,Keglsugl Airport
32571,EGE,Eagle County Regional Airport
32572,EGI,Duke Field
32575,EGV,Eagle River Union Airport
32582,KEK,Ekwok Airport
32583,EKA,Murray Field
32584,EKI,Elkhart Municipal Airport
32585,EKN,Elkins-Randolph Co-Jennings Randolph Field
32586,EKO,Elko Regional Airport
32589,EKX,Addington Field / Elizabethtown Regional Airport
32591,ELA,Eagle Lake Airport
32592,ELD,South Arkansas Regional At Goodwin Field
32593,ELK,Elk City Regional Business Airport
32594,ELM,Elmira Corning Regional Airport
32595,ELN,Bowers Field
32596,LYU,Ely Municipal Airport
32597,ELP,El Paso International Airport
32598,ELY,Ely Airport Yelland Field
32599,ELZ,"Wellsville Municipal Arpt,Tarantine Field"
32600,EMM,Kemmerer Municipal Airport
32601,EMP,Emporia Municipal Airport
32602,EMT,San Gabriel Valley Airport
32604,END,Vance Air Force Base
32605,ENL,Centralia Municipal Airport
32606,ENV,Wendover Airport
32607,ENW,Kenosha Regional Airport
32609,EOK,Keokuk Municipal Airport
32612,EPH,Ephrata Municipal Airport
32614,EDK,Captain Jack Thomas El Dorado Airport
32616,ERI,Erie International Tom Ridge Field
32617,ERR,Errol Airport
32618,ERV,Kerrville Municipal Louis Schreiner Field
32620,ESC,Delta County Airport
32621,ESF,Esler Regional Airport
32622,ESN,Easton Airport / Newnam Field
32623,EST,Estherville Municipal Airport
32624,ESW,Easton State Airport
32625,ETB,West Bend Municipal Airport
32628,ETN,Eastland Municipal Airport
32629,EUF,Weedon Field
32630,EUG,Mahlon Sweet Field
32633,EVM,Eveleth Virginia Municipal Airport
32635,EVV,Evansville Regional Airport
32636,EVW,Evanston-Uinta County Airport-Burns Field
32638,EWB,New Bedford Regional Airport
32639,EWK,Newton City-County Airport
32640,EWN,Coastal Carolina Regional Airport
32641,EWR,Newark Liberty International Airport
32642,KEX,Kanabea Airport
32647,EYW,Key West International Airport
32648,KEZ,Kelani-Peliyagoda Seaplane Base
32657,WIB,Wilbarger County Airport
32688,RBK,French Valley Airport
32702,FAF,Felker Army Air Field
32703,FAM,Farmington Regional Airport
32704,FAR,Hector International Airport
32705,FAT,Fresno Yosemite International Airport
32706,FAY,Fayetteville Regional Airport - Grannis Field
32707,FBG,Simmons Army Air Field
32708,FBL,Faribault Municipal Airport-Liz Wall Strohfus Field
32709,FBR,Fort Bridger Airport
32710,FBY,Fairbury Municipal Airport
32711,FCH,Fresno Chandler Executive Airport
32713,FCM,Flying Cloud Airport
32714,FCS,Butts AAF (Fort Carson) Air Field
32716,FCY,Forrest City Municipal Airport
32717,FDK,Frederick Municipal Airport
32718,FDR,Frederick Regional Airport
32720,FDY,Findlay Airport
32721,FEP,Albertus Airport
32723,FET,Fremont Municipal Airport
32724,FFA,First Flight Airport
32726,FFL,Fairfield Municipal Airport
32727,FFM,Fergus Falls Municipal Airport - Einar Mickelson Field
32728,FFO,Wright-Patterson Air Force Base
32729,FFT,Capital City Airport
32731,MSC,Falcon Field
32734,FRD,Friday Harbor Airport
32735,FHU,Sierra Vista Municipal Airport / Libby Army Air Field
32739,FKL,Venango Regional Airport
32740,FKN,Franklin Regional Airport
32743,FLD,Fond du Lac County Airport
32744,FLG,Flagstaff Pulliam International Airport
32745,FLL,Fort Lauderdale Hollywood International Airport
32746,FLO,Florence Regional Airport
32747,FLP,Marion County Regional Airport
32749,FLU,Flushing Airport
32750,FLV,Sherman Army Air Field
32751,FLX,Fallon Municipal Airport
32752,FME,Tipton Airport
32753,FMH,Cape Cod Coast Guard Air Station
32755,FMN,Four Corners Regional Airport
32756,FMY,Page Field
32759,FNL,Northern Colorado Regional Airport
32760,FNT,Bishop International Airport
32762,FOD,Fort Dodge Regional Airport
32763,FOE,Topeka Regional Airport
32764,FOK,Francis S Gabreski Airport
32765,FIL,Fillmore Municipal Airport
32769,FPR,St Lucie County International Airport
32771,FRG,Republic Airport
32772,FRH,French Lick Municipal Airport
32773,FRI,Marshall Army Air Field
32774,FRM,Fairmont Municipal Airport
32775,FRR,Front Royal Warren County Airport
32776,FSD,Sioux Falls Regional Airport / Joe Foss Field
32778,FSI,Henry Post Army Air Field (Fort Sill)
32779,FSK,Fort Scott Municipal Airport
32780,FSM,Fort Smith Regional Airport
32782,FST,Fort Stockton Pecos County Airport
32783,FSU,Fort Sumner Municipal Airport
32784,FMS,Fort Madison Municipal Airport
32786,FTK,Godman Army Air Field
32788,FTW,Fort Worth Meacham International Airport
